ALPHA_3_CODE,IsscaapGrp_mapping,Name_En,Scientific_Name,Name_Cn,Troph,Troph.SE,SL.max,DATA.SOURCE,FOOD.ITEM
GLT,37,Golden trevally,Gnathanodon speciosus,,3.84,0.6,104.09,FishBase_ISSCAAP,Pelagic fish
GLZ,31,Rex sole,Glyptocephalus zachirus,,3.24,0.38,49.2,FishBase_ISSCAAP,Demersal fish
GMR,33,Grey large-eye bream,Gymnocranius griseus,,3.22,NA,NA,SeaAroundUs,Demersal fish
GNC,38,Nurse shark,Ginglymostoma cirratum,,3.83,0.54,352.6,FishBase_ISSCAAP,Demersal fish
GNP,13,Slobbering catfish,Brachyplatystoma platynemum,,4.5,NA,NA,FishBase,Freshwater fish
GOA,33,West African goatfish,Pseudupeneus prayensis,,3.24,0.41,55,FishBase_ISSCAAP,Demersal fish
GOM,13,Gouramis nei,Trichogaster spp,,2.5,0.18,15,FishBase_ISSCAAP,Freshwater fish
GOX,33,Goatfishes,Upeneus spp,,3.5,0.08,19,FishBase_ISSCAAP,Demersal fish
GPA,33,Gobies nei,Gobiidae,,3.17,0.02,16,FishBase_ISSCAAP,Demersal fish
GPB,33,Brazilian groupers nei,Mycteroperca spp,,4.31,0.1,90,FishBase_ISSCAAP,Demersal fish
GPD,33,Dusky grouper,Epinephelus marginatus,,3.73,0.57,112.04,FishBase_ISSCAAP,Demersal fish
GPE,32,Longfin hake,Phycis chesteri,,3.17,0.36,71.75,FishBase_ISSCAAP,Demersal fish
GPN,33,Nassau grouper,Epinephelus striatus,,4.06,0.71,104.61,FishBase_ISSCAAP,Demersal fish
GPR,33,Red grouper,Epinephelus morio,,3.49,0.61,104.5,FishBase_ISSCAAP,Demersal fish
GPS,33,Spotted grouper,Epinephelus analogus,,3.84,0.64,89.34,FishBase_ISSCAAP,Demersal fish
GPW,33,White grouper,Epinephelus aeneus,,4.02,0.59,99.96,FishBase_ISSCAAP,Demersal fish
GPX,33,Groupers nei,Epinephelus spp,,3.9,0.02,79,FishBase_ISSCAAP,Demersal fish
GQD,33,Sordid rubberlip,Plectorhinchus sordidus,,3.99,0.66,49.03,FishBase_ISSCAAP,Demersal fish
GQT,33,Blackspotted rubberlip,Plectorhinchus gaterinus,,3.99,0.66,42.69,FishBase_ISSCAAP,Demersal fish
GRA,33,African striped grunt,Parapristipoma octolineatum,,3.55,0.5,50,FishBase_ISSCAAP,Demersal fish
GRB,33,Bigeye grunt,Brachydeuterus auritus,,3.03,0.44,24.7,FishBase_ISSCAAP,Demersal fish
GRC,32,Greenland cod,Gadus ogac,,3.59,0.58,64.99,FishBase_ISSCAAP,Demersal fish
GRE,34,Greeneyes,Chlorophthalmidae,青眼鱼科,3.89,0.14,18,FishBase_ISSCAAP,Demersal fish
GRL,33,Silver grunt,Pomadasys argenteus,,3.42,0.52,61.32,FishBase_ISSCAAP,Demersal fish
GRM,32,Patagonian grenadier,Macruronus magellanicus,,3.93,0.6,106.83,FishBase_ISSCAAP,Demersal fish
GRN,32,Blue grenadier,Macruronus novaezelandiae,,4.47,0.79,113.88,FishBase_ISSCAAP,Demersal fish
GRO,39,Groundfishes nei,Actinopterygii,,3.79,NA,55,SeaAroundUs,"Marine fish, other"
GRP,33,Cabinza grunt,Isacia conceptionis,,2.91,0.39,49.2,FishBase_ISSCAAP,Demersal fish
GRQ,42,Mediterranean geryon,Geryon longipes,马氏怪蟹,3.49,NA,NA,SeaAroundUs,Crustaceans
GRV,32,Grenadiers nei,Macrourus spp,,3.85,0.22,73,FishBase_ISSCAAP,Demersal fish
GRX,33,"Grunts, sweetlips nei",Haemulidae (=Pomadasyidae),,3.51,0.05,45,FishBase_ISSCAAP,Demersal fish
GSK,38,Greenland shark,Somniosus microcephalus,,4.22,0.57,598.6,FishBase_ISSCAAP,Pelagic fish
