ALPHA_3_CODE,IsscaapGrp_mapping,Name_En,Scientific_Name,Name_Cn,Troph,Troph.SE,SL.max,DATA.SOURCE,FOOD.ITEM
AAA,21,Adriatic sturgeon,Acipenser naccarii,亚德里亚鲟(纳氏鲟),3.35,0.5,164,FishBase_ISSCAAP,Demersal fish
AAB,33,Twobar seabream,Acanthopagrus bifasciatus,双线刺鲷,3.39,0.43,43.21,FishBase_ISSCAAP,Demersal fish
AAC,13,Bowfin,Amia calva,,3.81,0.67,89.38,FishBase_ISSCAAP,Freshwater fish
ABF,52,Red abalone,Haliotis rufescens,红鲍,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
ABG,52,Giant abalone,Haliotis gigantea,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
ABK,11,White bream,Blicca bjoerkna,,3.07,0.37,27.36,FishBase_ISSCAAP,Freshwater fish
ABP,52,Perlemoen abalone,Haliotis midae,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
ABR,52,Blacklip abalone,Haliotis rubra,黑唇鲍,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
ABS,45,Northern brown shrimp,Penaeus aztecus,,2.8,0.46,NA,FishBase_ISSCAAP,Crustaceans
ABX,52,Abalones nei,Haliotis spp,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
ABZ,33,Small sandeel,Ammodytes tobianus,小玉筋鱼,3.1,NA,NA,SeaAroundUs,Demersal fish
ACB,56,Inflated ark,Scapharca broughtonii,魁蚶,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
ACC,13,Ruffe,Gymnocephalus cernua,,3.35,0.31,20.5,FishBase_ISSCAAP,Freshwater fish
ACH,23,Arctic char,Salvelinus alpinus,,4.26,0.75,84.64,FishBase_ISSCAAP,Pelagic fish
AEB,13,,Alestes baremoze,,3.05,0.35,35.26,FishBase_ISSCAAP,Freshwater fish
AES,45,Aesop shrimp,Pandalus montagui,,2.3,0.24,NA,FishBase_ISSCAAP,Crustaceans
AFK,33,African forktail snapper,Apsilus fuscus,叉尾丝鳍笛鲷,3.99,0.584,61.5,FishBase_ISSCAAP,Demersal fish
AFQ,56,Pipi wedge clam,Paphies australis,,2,NA,NA,SeaAroundUs,"Molluscs, other"
AGN,38,Angelshark,Squatina squatina,,4.05,0.64,200.08,FishBase_ISSCAAP,Demersal fish
AGR,13,Freshwater drum,Aplodinotus grunniens,,3.36,0.43,78.46,FishBase_ISSCAAP,Freshwater fish
AGS,35,Spotted sardinella,Amblygaster sirm,斑点钝腹鲱,3.3,0.42,27,FishBase_ISSCAAP,Pelagic fish
AHT,11,Kinneret bleak,Acanthobrama terraesanctae,,3,0,21.4,FishBase_ISSCAAP,Freshwater fish
AIB,33,Glassfishes,Ambassidae,,3.55,0.11,8.839,FishBase_ISSCAAP,Demersal fish
AKS,45,Akiami paste shrimp,Acetes japonicus,,2.7,0.35,NA,FishBase_ISSCAAP,Crustaceans
AKX,56,,Paphies spp,,2,NA,NA,SeaAroundUs,"Molluscs, other"
ALA,37,Alexandria pompano,Alectis alexandrina,,3.6,0.59,82,FishBase_ISSCAAP,Pelagic fish
ALB,36,Albacore,Thunnus alalunga,,4.31,0.73,135.93,FishBase_ISSCAAP,Pelagic fish
ALC,34,Baird's slickhead,Alepocephalus bairdii,,3.69,0.54,100,FishBase_ISSCAAP,Demersal fish
ALE,24,Alewife,Alosa pseudoharengus,,3.51,0.48,40,FishBase_ISSCAAP,Pelagic fish
ALF,34,Alfonsinos nei,Beryx spp,,4.26,0.12,66,FishBase_ISSCAAP,Demersal fish
ALK,32,Alaska pollock(=Walleye poll.),Gadus chalcogrammus,狭鳕,3.45,0.49,75.71,FishBase_ISSCAAP,Demersal fish
ALL,34,Warty dory,Allocyttus verrucosus,,4.19,NA,NA,FishBase,Demersal fish
ALP,31,Alaska plaice,Pleuronectes quadrituberculatus,,3.1,0.3,50.84,FishBase_ISSCAAP,Demersal fish
ALR,11,Bleak,Alburnus alburnus,,3.01,0.18,21.88,FishBase_ISSCAAP,Freshwater fish
ALV,38,Thresher,Alopias vulpinus,狐形长尾鲨,4.5,0.79,623.2,FishBase_ISSCAAP,Pelagic fish
AMB,37,Greater amberjack,Seriola dumerili,杜氏鰤(高体鰤),4.5,0.8,155.8,FishBase_ISSCAAP,Pelagic fish
AMJ,37,Japanese amberjack,Seriola quinqueradiata,五条鰤,3.96,0.65,123,FishBase_ISSCAAP,Pelagic fish
AMS,47,Brine shrimp,Artemia salina,,2.6,0.3,NA,FishBase_ISSCAAP,Crustaceans
AMX,37,Amberjacks nei,Seriola spp,,4.34,0.07,125,FishBase_ISSCAAP,Pelagic fish
ANA,35,Argentine anchovy,Engraulis anchoita,,2.51,0,17,FishBase_ISSCAAP,Pelagic fish
ANC,35,Southern African anchovy,Engraulis capensis,,2.84,0.31,17,FishBase_ISSCAAP,Pelagic fish
ANE,35,European anchovy,Engraulis encrasicolus,,3.11,0.45,20,FishBase_ISSCAAP,Pelagic fish
ANF,34,Anglerfishes nei,Lophiidae,,4.43,0.06,110,FishBase_ISSCAAP,Demersal fish
ANG,34,American angler,Lophius americanus,,4.5,0.74,101.99,FishBase_ISSCAAP,Demersal fish
ANI,34,Mackerel icefish,Champsocephalus gunnari,,3.23,0.43,54.12,FishBase_ISSCAAP,Demersal fish
ANK,34,Blackbellied angler,Lophius budegassa,,4.48,0.76,100,FishBase_ISSCAAP,Demersal fish
ANN,33,Annular seabream,Diplodus annularis,,3.4,0.44,21.19,FishBase_ISSCAAP,Demersal fish
ANR,24,Atlantic sabretooth anchovy,Lycengraulis grossidens,,3.64,0.55,23.5,FishBase_ISSCAAP,Pelagic fish
ANS,33,Antarctic silverfish,Pleuragramma antarctica,,3,0,22.48,FishBase_ISSCAAP,Demersal fish
ANT,32,Blue antimora,Antimora rostrata,,3.58,0.47,75,FishBase_ISSCAAP,Demersal fish
ANX,35,"Anchovies, etc. nei",Engraulidae,,3.28,0.04,17,FishBase_ISSCAAP,Pelagic fish
APB,21,Siberian sturgeon,Acipenser baerii,西伯利亚鲟,3.22,0.385,164,FishBase_ISSCAAP,Freshwater fish
APE,21,Starry sturgeon,Acipenser stellatus,闪光鲟,3.1,0.3,180.4,FishBase_ISSCAAP,Demersal fish
APG,21,Danube sturgeon(=Osetr),Acipenser gueldenstaedtii,俄罗斯鲟,3.11,0.3,192.7,FishBase_ISSCAAP,Demersal fish
APH,34,Intermediate scabbardfish,Aphanopus intermedius,中间等鳍叉尾带鱼,4.11,NA,NA,SeaAroundUs,Demersal fish
APN,21,White sturgeon,Acipenser transmontanus,高首鲟,3.22,0.44,500.2,FishBase_ISSCAAP,Demersal fish
APO,33,"Cardinalfishes, etc. nei",Apogonidae,,3.46,0.04,8,FishBase_ISSCAAP,Demersal fish
APS,45,Northern pink shrimp,Penaeus duorarum,,3,0.35,NA,FishBase_ISSCAAP,Crustaceans
AQK,12,,Caquetaia kraussii,,3.36,NA,NA,FishBase,Freshwater fish
ARA,45,Blue and red shrimp,Aristeus antennatus,,2.3,0.24,NA,FishBase_ISSCAAP,Crustaceans
ARF,31,Arrowtooth flounder,Atheresthes stomias,,4.26,0.75,68.88,FishBase_ISSCAAP,Demersal fish
ARG,34,Argentines,Argentina spp,,3.43,0.07,36,FishBase_ISSCAAP,Demersal fish
ARI,45,Aristeid shrimps nei,Aristeidae,,2.3,0.24,NA,FishBase_ISSCAAP,Crustaceans
ARK,56,Ark clams nei,Arca spp,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
ARP,13,Arapaima,Arapaima gigas,巨骨舌鱼,4.5,0.8,369,FishBase_ISSCAAP,Freshwater fish
ARQ,33,Rusty jobfish,Aphareus rutilans,红叉尾鲷,4.11,0.57,88.83,FishBase_ISSCAAP,Demersal fish
ARS,45,Giant red shrimp,Aristaeomorpha foliacea,,2.3,NA,NA,SeaAroundUs,Crustaceans
ARU,34,Greater argentine,Argentina silus,,3.31,0.28,70,FishBase_ISSCAAP,Demersal fish
ARV,45,Striped red shrimp,Aristeus varidens,,2.3,0.24,NA,FishBase_ISSCAAP,Crustaceans
ARY,34,Argentine,Argentina sphyraena,,3.62,0.52,35,FishBase_ISSCAAP,Demersal fish
ASA,33,Australian salmon,Arripis trutta,,4.07,0.69,72.09,FishBase_ISSCAAP,Demersal fish
ASD,24,Allis shad,Alosa alosa,,3.62,0.53,71.38,FishBase_ISSCAAP,Pelagic fish
ASH,45,Argentine stiletto shrimp,Artemesia longinaris,,2.7,0.35,NA,FishBase_ISSCAAP,Crustaceans
ASK,38,"Angelsharks, sand devils nei",Squatinidae,,4.05,0.07,150,FishBase_ISSCAAP,Pelagic fish
ASP,24,Caspian shads,Caspialosa spp,,3.25,0,16,FishBase_ISSCAAP,Pelagic fish
AST,12,Velvety cichlids,Astronotus spp,,2.83,0,33,FishBase_ISSCAAP,Freshwater fish
ASU,11,Asp,Aspius aspius,,4.47,0.8,82,FishBase_ISSCAAP,Freshwater fish
ATB,37,Big-scale sand smelt,Atherina boyeri,银带真银汉鱼,2.32,0.26,16.4,FishBase_ISSCAAP,Pelagic fish
ATK,33,Okhotsk atka mackerel,Pleurogrammus azonus,远东多线鱼,3.58,0.48,50.84,FishBase_ISSCAAP,Demersal fish
AUB,13,,Auchenoglanis biscutatus,,3.08,NA,NA,FishBase,Freshwater fish
AUO,13,Bubu,Auchenoglanis occidentalis,,2.9,0.33,70,FishBase_ISSCAAP,Freshwater fish
AUP,41,White-clawed crayfish,Austropotamobius pallipes,白螯南方河螯虾,2.2,0.23,NA,FishBase_ISSCAAP,Crustaceans
AUR,33,Rough-head sea catfish,Arius latiscutatus,,3.34,NA,NA,FishBase,Demersal fish
AUX,33,Giant catfish,Netuma thalassina,,3.1,0.3,144.92,FishBase_ISSCAAP,Demersal fish
AVA,35,Atlantic anchoveta,Cetengraulis edentulus,,2.11,0.07,12.93,FishBase_ISSCAAP,Pelagic fish
AVB,33,Western Atlantic seabream,Archosargus rhomboidalis,,2.22,0.21,27.06,FishBase_ISSCAAP,Demersal fish
AWE,33,Geelbek croaker,Atractoscion aequidens,非洲锤形石首鱼,3.89,0.52,111.93,FishBase_ISSCAAP,Demersal fish
AWT,11,Tarek,Chalcalburnus tarichi,,3.01,0.18,19.7,FishBase_ISSCAAP,Freshwater fish
AWW,33,Armless snake eel,Dalophis imberbis,,4.02,NA,NA,FishBase,Demersal fish
AWX,33,,Arius spp,,3.58,0.08,NA,FishBase_ISSCAAP,Demersal fish
AXF,13,Banded astyanax,Astyanax fasciatus,,2.75,0.34,13.78,FishBase_ISSCAAP,Freshwater fish
AXP,33,Crucifix sea catfish,Sciades proops,,4.36,NA,NA,SeaAroundUs,Demersal fish
AXR,45,Aristeus shrimps nei,Aristeus spp,,3.77,NA,NA,SeaAroundUs,Crustaceans
AXW,33,Lorna drum,Sciaena deliciosa,,3.6,NA,NA,Estimate(SeaAroundUs),Demersal fish
AXZ,33,,Gymnothorax spp,,4.22,NA,NA,SeaAroundUs,Demersal fish
AYA,41,Australian crayfish,Euastacus armatus,,2.2,0.23,NA,FishBase_ISSCAAP,Crustaceans
AYS,41,Euro-American crayfishes nei,"Astacidae, Cambaridae",,2.2,0.23,NA,FishBase_ISSCAAP,Crustaceans
AYW,72,Diamondback terrapin,Malaclemys terrapin,菱纹背泥龟,3.6,NA,NA,"Estimate(Abdul et al., 2019. Trophodynamics and parabolic behaviors of polycyclic aromatic hydrocarbons in an urbanized lake food web, Shanghai)","Aquatic animals, other"
BAC,37,Pickhandle barracuda,Sphyraena jello,,4.5,0.8,137.79,FishBase_ISSCAAP,Pelagic fish
BAF,37,Flat needlefish,Ablennes hians,,4.5,0.8,114.8,FishBase_ISSCAAP,Pelagic fish
BAH,31,Bastard halibut,Paralichthys olivaceus,牙鲆,4.35,0.76,91.54,FishBase_ISSCAAP,Demersal fish
BAJ,33,Japanese seabass,Lateolabrax japonicus,花鲈,3.36,0.43,83.64,FishBase_ISSCAAP,Demersal fish
BAL,37,Ballyhoo halfbeak,Hemiramphus brasiliensis,,2.48,0.35,45.1,FishBase_ISSCAAP,Pelagic fish
BAN,37,Sawtooth barracuda,Sphyraena putnamae,,4.5,NA,NA,SeaAroundUs,Pelagic fish
BAP,33,Peruvian rock seabass,Paralabrax humeralis,,4.11,0.68,44.69,FishBase_ISSCAAP,Demersal fish
BAQ,37,Yellowtail barracuda,Sphyraena flavicauda,,3.76,NA,NA,SeaAroundUs,Pelagic fish
BAR,37,Barracudas nei,Sphyraena spp,,4.32,0.06,99,FishBase_ISSCAAP,Pelagic fish
BAS,33,Combers nei,Serranus spp,,3.73,NA,NA,SeaAroundUs,Demersal fish
BAT,33,Batfishes,Platax spp,燕鱼属未定种,3.64,0.31,58,FishBase_ISSCAAP,Demersal fish
BAU,36,Australian bonito,Sarda australis,,4.5,NA,NA,SeaAroundUs,Pelagic fish
BAX,31,Bastard halibuts nei,Paralichthys spp,,4.16,0.12,71,FishBase_ISSCAAP,Demersal fish
BAY,33,Bocon toadfish,Amphichthys cryptocentrus,,3.76,0.62,35.59,FishBase_ISSCAAP,Demersal fish
BBF,34,Velvet whalefish,Barbourisia rufa,,3.3,0.41,31.98,FishBase_ISSCAAP,Demersal fish
BBH,24,Blueback shad,Alosa aestivalis,,3.6,0.31,40,FishBase_ISSCAAP,Pelagic fish
BBK,11,Algerian barb,Barbus callensis,,2.8,0.33,24.6,FishBase_ISSCAAP,Freshwater fish
BBM,36,Broad-barred king mackerel,Scomberomorus semifasciatus,,4.5,NA,NA,SeaAroundUs,Pelagic fish
BBR,11,,Barbonymus balleroides,,2.08,0.09,24.6,FishBase_ISSCAAP,Freshwater fish
BBS,34,Black scorpionfish,Scorpaena porcus,,3.93,0.65,29.42,FishBase_ISSCAAP,Demersal fish
BCB,13,Argentinian silverside,Odontesthes bonariensis,牙汉鱼,2.57,0.24,41,FishBase_ISSCAAP,Freshwater fish
BCE,13,,Brycinus leuciscus,,3.01,NA,NA,FishBase,Freshwater fish
BCL,56,Butter clam,Saxidomus giganteus,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
BCM,13,Dorada,Brycon moorei,,2.54,0.29,50,FishBase_ISSCAAP,Freshwater fish
BDM,33,Black drum,Pogonias cromis,,3.89,0.62,147.49,FishBase_ISSCAAP,Demersal fish
BDY,33,,Bodianus spp,,3.55,NA,NA,SeaAroundUs,Demersal fish
BEC,33,Red sea catfish,Bagre pinnimaculatus,,4.5,NA,NA,SeaAroundUs,Demersal fish
BEG,34,Latchet(=Sharpbeak gurnard),Pterygotrigla polyommata,繁星角鲂鮄,3.77,0.53,50.84,FishBase_ISSCAAP,Demersal fish
BEH,34,Frostfishes,Benthodesmus spp,,3.98,0.04,79.455,FishBase_ISSCAAP,Demersal fish
BEI,33,Chilhuil sea catfish,Bagre panamensis,,3.99,NA,NA,SeaAroundUs,Demersal fish
BEJ,12,Giant cichlid,Boulengerochromis microlepis,,4.5,0.8,53.3,FishBase_ISSCAAP,Freshwater fish
BEM,33,Gafftopsail sea catfish,Bagre marinus,,3.51,NA,NA,SeaAroundUs,Demersal fish
BEN,37,"Needlefishes, etc. nei",Belonidae,,4.23,0.07,100,FishBase_ISSCAAP,Pelagic fish
BEP,36,Eastern Pacific bonito,Sarda chiliensis,,4.5,0.78,83.64,FishBase_ISSCAAP,Pelagic fish
BET,36,Bigeye tuna,Thunnus obesus,,4.49,0.75,205,FishBase_ISSCAAP,Pelagic fish
BFP,33,Great blue spotted mudskipper,Boleophthalmus pectinirostris,大弹涂鱼,2,NA,NA,FishBase,Demersal fish
BFS,11,Tinfoil barb,Barbonymus schwanenfeldii,施瓦氏四须魮,2.91,0.36,35,FishBase_ISSCAAP,Freshwater fish
BFT,36,Atlantic bluefin tuna,Thunnus thynnus,大西洋蓝鳍金枪鱼,4.43,0.78,375.56,FishBase_ISSCAAP,Pelagic fish
BGJ,13,Bayad,Bagrus bajad,,3.99,0.7,101.94,FishBase_ISSCAAP,Freshwater fish
BGR,33,Bastard grunt,Pomadasys incisus,,3.8,0.52,43.28,FishBase_ISSCAAP,Demersal fish
BGX,33,,Pomadasys spp,,3.59,NA,NA,SeaAroundUs,Demersal fish
BHQ,34,Skinnycheek lanternfish,Benthosema pterotum,,3.14,0.27,5.74,FishBase_ISSCAAP,Demersal fish
BIB,32,Pouting(=Bib),Trisopterus luscus,条长臂鳕,3.73,0.62,41.86,FishBase_ISSCAAP,Demersal fish
BIC,11,Bighead carp,Hypophthalmichthys nobilis,鳙,2.33,0.22,87.81,FishBase_ISSCAAP,Freshwater fish
BIG,33,Bigeyes nei,Priacanthus spp,,3.88,0.11,35,FishBase_ISSCAAP,Demersal fish
BIL,36,"Marlins,sailfishes,etc. nei",Istiophoridae,,4.47,0.03,263,FishBase_ISSCAAP,Pelagic fish
BIP,36,Striped bonito,Sarda orientalis,,4.21,0.686,92.41,FishBase_ISSCAAP,Pelagic fish
BIR,33,Red bigeye,Priacanthus macracanthus,,4.11,0.6,30,FishBase_ISSCAAP,Demersal fish
BIS,37,Bigeye scad,Selar crumenophthalmus,,4.1,0.7,27,FishBase_ISSCAAP,Pelagic fish
BIY,33,Finescale triggerfish,Balistes polylepis,,3.3,NA,NA,SeaAroundUs,Demersal fish
BKC,11,Black carp,Mylopharyngodon piceus,青鱼,3.19,0.44,105.16,FishBase_ISSCAAP,Freshwater fish
BKJ,36,Black skipjack,Euthynnus lineatus,,3.83,0.6,77.7,FishBase_ISSCAAP,Pelagic fish
BLB,37,Blue butterfish,Stromateus fiatola,,4.03,0.5,50,FishBase_ISSCAAP,Pelagic fish
BLC,56,Blood cockle,Tegillarca granosa,血蚶,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
BLF,36,Blackfin tuna,Thunnus atlanticus,,4.13,0.7,104.28,FishBase_ISSCAAP,Pelagic fish
BLI,32,Blue ling,Molva dypterygia,,4.48,0.8,144.62,FishBase_ISSCAAP,Demersal fish
BLL,31,Brill,Scophthalmus rhombus,,3.79,0.56,61.81,FishBase_ISSCAAP,Demersal fish
BLM,36,Black marlin,Istiompax indica,,4.5,0.79,452.45,FishBase_ISSCAAP,Pelagic fish
BLP,33,Patagonian blennie,Eleginops maclovinus,,3.27,0.47,73.8,FishBase_ISSCAAP,Demersal fish
BLR,38,Blacktip reef shark,Carcharhinus melanopterus,,3.94,NA,NA,SeaAroundUs,Demersal fish
BLS,56,Anadara clams nei,Anadara spp,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
BLT,36,Bullet tuna,Auxis rochei,,4.13,0.61,46.85,FishBase_ISSCAAP,Pelagic fish
BLU,37,Bluefish,Pomatomus saltatrix,,4.5,0.55,113.16,FishBase_ISSCAAP,Pelagic fish
BMK,33,Green humphead parrotfish,Bolbometopon muricatum,,2.67,0.41,110.5,FishBase_ISSCAAP,Demersal fish
BMO,34,Blue moki,Latridopsis ciliaris,,3.25,NA,NA,SeaAroundUs,Demersal fish
BMW,11,Clown loach,Chromobotia macracanthus,,2.85,0.32,24.6,FishBase_ISSCAAP,Freshwater fish
BMZ,13,,Mystus nigriceps,,3.34,0.45,19.8,FishBase_ISSCAAP,Freshwater fish
BNC,13,,Brycon cephalus,头石脂鲤,2,0,22,FishBase_ISSCAAP,Freshwater fish
BNF,33,Longfin bonefish,Pterothrissus belloci,,3.03,0.17,40,FishBase_ISSCAAP,Demersal fish
BNM,13,,Brycon melanopterus,,2.5,NA,NA,FishBase,Freshwater fish
BNV,13,Machaca,Brycon guatemalensis,,2.32,0.27,48.38,FishBase_ISSCAAP,Freshwater fish
BOA,35,Bonga shad,Ethmalosa fimbriata,,2.5,0,36.16,FishBase_ISSCAAP,Pelagic fish
BOB,45,Atlantic seabob,Xiphopenaeus kroyeri,,2.7,0.35,NA,FishBase_ISSCAAP,Crustaceans
BOC,34,Boarfish,Capros aper,方鲷,3.14,0.34,22.8,FishBase_ISSCAAP,Demersal fish
BOE,34,Black oreo,Allocyttus niger,,3.38,0.5,38.54,FishBase_ISSCAAP,Demersal fish
BOF,33,Bonefish,Albula vulpes,,3.67,0.57,86.4,FishBase_ISSCAAP,Demersal fish
BOG,33,Bogue,Boops boops,,2.97,0.12,32.26,FishBase_ISSCAAP,Demersal fish
BON,36,Atlantic bonito,Sarda sarda,,4.5,0.74,84.18,FishBase_ISSCAAP,Pelagic fish
BOP,36,Plain bonito,Orcynopsis unicolor,,4.5,0.8,118.3,FishBase_ISSCAAP,Pelagic fish
BOR,34,Boarfishes nei,Caproidae,,3.5,0.28,16,FishBase_ISSCAAP,Demersal fish
BOS,45,Pacific seabobs,"Xiphopenaeus, Trachypenaeus spp",,2.3,0.24,NA,FishBase_ISSCAAP,Crustaceans
BOY,52,Purple dye murex,Bolinus brandaris,紫色土骨螺,3.23,NA,NA,SeaAroundUs,"Molluscs, other"
BPF,13,Kumakuma,Brachyplatystoma filamentosum,,4.47,NA,NA,FishBase,Freshwater fish
BPI,33,Blotched picarel,Spicara maena,,4.15,0.7,25,FishBase_ISSCAAP,Demersal fish
BPJ,13,Zebra catfish,Brachyplatystoma juruense,,4.5,NA,NA,FishBase,Freshwater fish
BPT,13,Laulao catfish,Brachyplatystoma vaillanti,,4.5,0.8,123,FishBase_ISSCAAP,Freshwater fish
BRB,33,Black seabream,Spondyliosoma cantharus,,3.29,0.43,60,FishBase_ISSCAAP,Demersal fish
BRD,34,Bearded brotula,Brotula barbata,,3.78,0.6,87.33,FishBase_ISSCAAP,Demersal fish
BRF,34,Blackbelly rosefish,Helicolenus dactylopterus,,3.81,0.63,39.49,FishBase_ISSCAAP,Demersal fish
BRG,33,Barred grunt,Conodon nobilis,,3.51,0.58,27.55,FishBase_ISSCAAP,Demersal fish
BRS,36,Serra Spanish mackerel,Scomberomorus brasiliensis,,3.31,0.44,120.12,FishBase_ISSCAAP,Pelagic fish
BRU,37,Southern rays bream,Brama australis,,4.15,0.58,47,FishBase_ISSCAAP,Pelagic fish
BRZ,37,"Pomfrets, ocean breams nei",Bramidae,,4.31,0.03,82,FishBase_ISSCAAP,Pelagic fish
BSB,33,Black seabass,Centropristis striata,,3.98,0.63,54.12,FishBase_ISSCAAP,Demersal fish
BSC,33,Bluespotted seabream,Pagrus caeruleostictus,,3.81,0.6,90,FishBase_ISSCAAP,Demersal fish
BSE,33,Seabasses nei,Dicentrarchus spp,,3.86,0.08,57,FishBase_ISSCAAP,Demersal fish
BSF,34,Black scabbardfish,Aphanopus carbo,黑等鳍叉尾带鱼,4.48,0.77,110,FishBase_ISSCAAP,Demersal fish
BSH,38,Blue shark,Prionace glauca,,4.24,0.67,328,FishBase_ISSCAAP,Pelagic fish
BSK,38,Basking shark,Cetorhinus maximus,,3.2,0.3,803.6,FishBase_ISSCAAP,Pelagic fish
BSP,34,Warehou nei,Seriolella spp,,3.38,0.02,58,FishBase_ISSCAAP,Demersal fish
BSR,35,Brazilian sardinella,Sardinella brasiliensis,,3.1,0.3,25,FishBase_ISSCAAP,Pelagic fish
BSS,33,European seabass,Dicentrarchus labrax,,3.79,0.6,92.31,FishBase_ISSCAAP,Demersal fish
BSX,33,"Groupers, seabasses nei",Serranidae,,3.89,0.03,75,FishBase_ISSCAAP,Demersal fish
BSZ,33,Argentine seabass,Acanthistius brasilianus,,4.01,0.71,49.2,FishBase_ISSCAAP,Demersal fish
BTG,37,Gulf butterfishes nei,Peprilus spp,,4.02,0.04,24,FishBase_ISSCAAP,Pelagic fish
BTH,38,Bigeye thresher,Alopias superciliosus,,4.5,0.75,400.14,FishBase_ISSCAAP,Pelagic fish
BTS,37,Hound needlefish,Tylosurus crocodilus,,4.47,0.79,132.07,FishBase_ISSCAAP,Pelagic fish
BUA,37,Atlantic bumper,Chloroscombrus chrysurus,,3.21,0.48,53.3,FishBase_ISSCAAP,Pelagic fish
BUC,33,Bombay-duck,Harpadon nehereus,,4.2,0.73,31.92,FishBase_ISSCAAP,Demersal fish
BUF,11,Buffalofishes nei,Ictiobus spp,,3.11,0,74,FishBase_ISSCAAP,Freshwater fish
BUM,36,Blue marlin,Makaira nigricans,蓝枪鱼,4.5,0.71,410,FishBase_ISSCAAP,Pelagic fish
BUP,34,Pacific rudderfish,Psenopsis anomala,,4,0.28,21.06,FishBase_ISSCAAP,Demersal fish
BUR,33,Sompat grunt,Pomadasys jubelini,,3.33,0.5,44.64,FishBase_ISSCAAP,Demersal fish
BUT,37,Atlantic butterfish,Peprilus triacanthus,,3.97,0.34,24.6,FishBase_ISSCAAP,Pelagic fish
BUX,37,"Butterfishes, pomfrets nei",Stromateidae,,3.73,0.12,35,FishBase_ISSCAAP,Pelagic fish
BVF,13,Bagrid catsfih nei,Bagridae,鲿科种类,2.69,NA,NA,SeaAroundUs,Freshwater fish
BWA,34,Bluenose warehou,Hyperoglyphe antarctica,南极栉鲳,3.95,0.57,100.38,FishBase_ISSCAAP,Demersal fish
BWB,37,Starry butterfish,Stromateus stellatus,,3.59,NA,NA,SeaAroundUs,Pelagic fish
BXD,34,Alfonsino,Beryx decadactylus,,4.13,0.76,82.69,FishBase_ISSCAAP,Demersal fish
BXF,33,Boxfishes nei,Ostraciidae,,3.1,0.19,23.513,FishBase_ISSCAAP,Demersal fish
BXH,13,,Brycon spp,,2.8,NA,NA,Estimate(FishBase),Freshwater fish
BXM,13,,Mystus spp,,3.3,NA,NA,Estimate(FishBase),Freshwater fish
BXN,13,,Brycon hilarii,,2,NA,NA,FishBase,Freshwater fish
BXP,13,,Brachyplatystoma rousseauxii,,4.5,NA,NA,FishBase,Freshwater fish
BXQ,36,Marlins nei,Makaira spp,,4.47,NA,NA,SeaAroundUs,Pelagic fish
BYB,13,Silver perch,Bidyanus bidyanus,银锯眶鯻(银鲈),2.99,0.34,40,FishBase_ISSCAAP,Freshwater fish
BYS,34,Splendid alfonsino,Beryx splendens,红金眼鲷,4.38,0.76,55.42,FishBase_ISSCAAP,Demersal fish
BZB,38,Broadnose skate,Bathyraja brachyurops,,4.07,NA,NA,SeaAroundUs,Demersal fish
BZC,13,Nurse tetra,Brycinus nurse,,2.46,NA,NA,FishBase,Freshwater fish
BZH,13,,Brycon amazonicus,亚马逊石脂鲤,2.95,NA,NA,FishBase,Freshwater fish
BZX,36,Bonitos nei,Sarda spp,,4.37,NA,NA,SeaAroundUs,Pelagic fish
CAA,34,Atlantic wolffish,Anarhichas lupus,大西洋狼鳚,3.24,0.43,135.9,FishBase_ISSCAAP,Demersal fish
CAB,34,Northern wolffish,Anarhichas denticulatus,北方狼鳚,3.75,0.46,147.6,FishBase_ISSCAAP,Demersal fish
CAE,33,Eeltail catfishes,Plotosus spp,鳗鲇属未定种,3.68,0.09,123,FishBase_ISSCAAP,Demersal fish
CAF,13,Catfishes nei,Ictalurus spp,,3.58,0.04,122,FishBase_ISSCAAP,Freshwater fish
CAG,13,Glass catfishes,Kryptopterus spp,,3.96,0.12,49,FishBase_ISSCAAP,Freshwater fish
CAH,38,"Elephantfishes, etc. nei",Callorhinchidae,,3.43,0.11,70,FishBase_ISSCAAP,Demersal fish
CAL,42,Callinectes swimcrabs nei,Callinectes spp,,3.3,0.58,NA,FishBase_ISSCAAP,Crustaceans
CAN,13,Naked catfishes,Bagrus spp,,4,0.04,34,FishBase_ISSCAAP,Freshwater fish
CAP,37,Capelin,Mallotus villosus,毛鳞鱼,3.15,0.34,17.89,FishBase_ISSCAAP,Pelagic fish
CAS,34,Spotted wolffish,Anarhichas minor,斑狼鳚,3.45,0.43,164.88,FishBase_ISSCAAP,Demersal fish
CAT,34,Wolffishes(=Catfishes) nei,Anarhichas spp,,3.48,0.15,123,FishBase_ISSCAAP,Demersal fish
